Produto,Cores,Fator de Abertura,Largura (m),R$ M²,R$ ML
TJS,"01, 43, 50, 51, 54, 55, 71, 72, 73, 80","0,5%",2.0,31.35,62.70
TJS,"01, 43, 50, 51, 54, 55, 71, 72, 73, 80","0,5%",2.5,31.35,78.38
TJS,"01, 43, 50, 51, 54, 55, 71, 72, 73, 80","0,5%",3.0,31.35,94.05
One,"50, 01, 51, 54, 55, 71, 73",1%,2.0,30.80,61.60
One,"50, 01, 51, 54, 55, 71, 73",1%,2.5,30.80,77.00
One,"50, 01, 51, 54, 55, 71, 73",1%,3.0,30.80,92.40
Pers Plus,"01, 34, 43, 50, 51, 53, 55, 56, 71, 72, 74, 76, 80, 85",3%,2.0,24.75,49.50
Pers Plus,"01, 34, 43, 50, 51, 53, 55, 56, 71, 72, 74, 76, 80, 85",3%,2.5,24.75,61.88
Pers Plus,"01, 34, 43, 50, 51, 53, 55, 56, 71, 72, 74, 76, 80, 85",3%,3.0,24.75,74.25
2/1,"01, 43, 51, 71, 72",3%,2.0,24.75,49.50
2/1,"01, 43, 51, 71, 72",3%,2.5,24.75,61.88
2/1,"01, 43, 51, 71, 72",3%,3.0,24.75,74.25
Panamá,"01, 34, 43, 50, 51, 52, 54, 55, 71, 72, 73, 74, 76, 80, 85",5%,2.0,22.00,44.00
Panamá,"01, 34, 43, 50, 51, 52, 54, 55, 71, 72, 73, 74, 76, 80, 85",5%,2.5,22.00,55.00
Panamá,"01, 34, 43, 50, 51, 52, 54, 55, 71, 72, 73, 74, 76, 80, 85",5%,3.0,22.00,66.00
Light,"01, 51, 71",5%,2.5,17.05,42.63
